Name,Dimensions,Size,DataType,Attributes,HistFlag
SO4_AC,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: SO4_AC concentration, cell_methods: time: mean",history_chemistry
SO4_NA,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: SO4_NA concentration, cell_methods: time: mean",history_chemistry
SO4_PR,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: SO4_PR concentration, cell_methods: time: mean",history_chemistry
SO4_PR_CLXF,"time, lat, lon","1, 96, 144",float32,"units: molec/cm2/s, long_name: vertically intergrated external forcing for SO4_PR, cell_methods: time: mean",history_chemistry
SO4_PR_CMXF,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: vertically intergrated external forcing for SO4_PR, cell_methods: time: mean",history_chemistry
SOA_A1,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: SOA_A1 concentration, cell_methods: time: mean",history_chemistry
SOA_LV,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: mol/mol, long_name: SOA_LV concentration, cell_methods: time: mean",history_chemistry
SOA_NA,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: SOA_NA concentration, cell_methods: time: mean",history_chemistry
SOA_SV,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: mol/mol, long_name: SOA_SV concentration, cell_methods: time: mean",history_chemistry
SS_A1,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: SS_A1 concentration, cell_methods: time: mean",history_chemistry
SS_A2,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: SS_A2 concentration, cell_methods: time: mean",history_chemistry
SS_A3,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: SS_A3 concentration, cell_methods: time: mean",history_chemistry
WD_A_DMS,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: DMS              wet deposition, cell_methods: time: mean",history_chemistry
WD_A_H2O2,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: H2O2             wet deposition, cell_methods: time: mean",history_chemistry
WD_A_H2SO4,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: H2SO4            wet deposition, cell_methods: time: mean",history_chemistry
WD_A_SO2,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: SO2              wet deposition, cell_methods: time: mean",history_chemistry
WD_A_SOA_LV,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: SOA_LV           wet deposition, cell_methods: time: mean",history_chemistry
WD_A_SOA_SV,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: SOA_SV           wet deposition, cell_methods: time: mean",history_chemistry
WD_A_isoprene,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: isoprene         wet deposition, cell_methods: time: mean",history_chemistry
WD_A_monoterp,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: monoterp         wet deposition, cell_methods: time: mean",history_chemistry
WD_H2O2,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: vertical integrated wet deposition flux, cell_methods: time: mean",history_chemistry
WD_H2SO4,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: vertical integrated wet deposition flux, cell_methods: time: mean",history_chemistry
WD_SO2,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: vertical integrated wet deposition flux, cell_methods: time: mean",history_chemistry
isoprene,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: mol/mol, long_name: isoprene concentration, cell_methods: time: mean",history_chemistry
monoterp,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: mol/mol, long_name: monoterp concentration, cell_methods: time: mean",history_chemistry
