Name,Dimensions,Size,DataType,Attributes,HistFlag
CLRIMODIS,"time, cosp_reffice, cosp_tau_modis, lat, lon","1, 6, 7, 96, 144",float32,"mdims: [11 12], units: %, long_name: MODIS Cloud Area Fraction, cell_methods: time: mean",cosp
CLRLMODIS,"time, cosp_reffliq, cosp_tau_modis, lat, lon","1, 6, 7, 96, 144",float32,"mdims: [11 13], units: %, long_name: MODIS Cloud Area Fraction, cell_methods: time: mean",cosp
CLTMODIS,"time, lat, lon","1, 96, 144",float32,"units: %, long_name: MODIS Total Cloud Fraction, cell_methods: time: mean",cosp
CLWMODIS,"time, lat, lon","1, 96, 144",float32,"units: %, long_name: MODIS Liquid Cloud Fraction, cell_methods: time: mean",cosp
FISCCP1_COSP,"time, cosp_prs, cosp_tau, lat, lon","1, 7, 7, 96, 144",float32,"mdims: [4 3], units: percent, long_name: Grid-box fraction covered by each ISCCP D level cloud type, cell_methods: time: mean",cosp
IWPMODIS,"time, lat, lon","1, 96, 144",float32,"units: kg m-2, long_name: MODIS Cloud Ice Water Path*CLIMODIS, cell_methods: time: mean",cosp
LWPMODIS,"time, lat, lon","1, 96, 144",float32,"units: kg m-2, long_name: MODIS Cloud Liquid Water Path*CLWMODIS, cell_methods: time: mean",cosp
MEANCLDALB_ISCCP,"time, lat, lon","1, 96, 144",float32,"units: 1, long_name: Mean cloud albedo*CLDTOT_ISCCP, cell_methods: time: mean",cosp
MEANPTOP_ISCCP,"time, lat, lon","1, 96, 144",float32,"units: Pa, long_name: Mean cloud top pressure*CLDTOT_ISCCP, cell_methods: time: mean",cosp
MEANTAU_ISCCP,"time, lat, lon","1, 96, 144",float32,"units: 1, long_name: Mean optical thickness*CLDTOT_ISCCP, cell_methods: time: mean",cosp
MEANTBCLR_ISCCP,"time, lat, lon","1, 96, 144",float32,"units: K, long_name: Mean Clear-sky Infrared Tb from ISCCP simulator, cell_methods: time: mean",cosp
MEANTB_ISCCP,"time, lat, lon","1, 96, 144",float32,"units: K, long_name: Mean Infrared Tb from ISCCP simulator, cell_methods: time: mean",cosp
PCTMODIS,"time, lat, lon","1, 96, 144",float32,"units: Pa, long_name: MODIS Cloud Top Pressure*CLTMODIS, cell_methods: time: mean",cosp
REFFCLIMODIS,"time, lat, lon","1, 96, 144",float32,"units: m, long_name: MODIS Ice Cloud Particle Size*CLIMODIS, cell_methods: time: mean",cosp
REFFCLWMODIS,"time, lat, lon","1, 96, 144",float32,"units: m, long_name: MODIS Liquid Cloud Particle Size*CLWMODIS, cell_methods: time: mean",cosp
RFL_PARASOL,"time, cosp_sza, lat, lon","1, 5, 96, 144",float32,"mdims: 8, units: fraction, long_name: PARASOL-like mono-directional reflectance, cell_methods: time: mean",cosp
TAUILOGMODIS,"time, lat, lon","1, 96, 144",float32,"units: 1, long_name: MODIS Ice Cloud Optical Thickness (Log10 Mean)*CLIMODIS, cell_methods: time: mean",cosp
TAUIMODIS,"time, lat, lon","1, 96, 144",float32,"units: 1, long_name: MODIS Ice Cloud Optical Thickness*CLIMODIS, cell_methods: time: mean",cosp
TAUTLOGMODIS,"time, lat, lon","1, 96, 144",float32,"units: 1, long_name: MODIS Total Cloud Optical Thickness (Log10 Mean)*CLTMODIS, cell_methods: time: mean",cosp
TAUTMODIS,"time, lat, lon","1, 96, 144",float32,"units: 1, long_name: MODIS Total Cloud Optical Thickness*CLTMODIS, cell_methods: time: mean",cosp
TAUWLOGMODIS,"time, lat, lon","1, 96, 144",float32,"units: 1, long_name: MODIS Liquid Cloud Optical Thickness (Log10 Mean)*CLWMODIS, cell_methods: time: mean",cosp
TAUWMODIS,"time, lat, lon","1, 96, 144",float32,"units: 1, long_name: MODIS Liquid Cloud Optical Thickness*CLWMODIS, cell_methods: time: mean",cosp
