Name,Dimensions,Size,DataType,Attributes,HistFlag
DCSO4_PR,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: SO4_PR tendency due to moist processes, cell_methods: time: mean",diag_cnst_conv_tend-all
DCSOA_A1,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: SOA_A1 tendency due to moist processes, cell_methods: time: mean",diag_cnst_conv_tend-all
DCSOA_LV,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: SOA_LV tendency due to moist processes, cell_methods: time: mean",diag_cnst_conv_tend-all
DCSOA_NA,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: SOA_NA tendency due to moist processes, cell_methods: time: mean",diag_cnst_conv_tend-all
DCSOA_SV,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: SOA_SV tendency due to moist processes, cell_methods: time: mean",diag_cnst_conv_tend-all
DCSS_A1,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: SS_A1 tendency due to moist processes, cell_methods: time: mean",diag_cnst_conv_tend-all
DCSS_A2,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: SS_A2 tendency due to moist processes, cell_methods: time: mean",diag_cnst_conv_tend-all
DCSS_A3,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: SS_A3 tendency due to moist processes, cell_methods: time: mean",diag_cnst_conv_tend-all
DCisoprene,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: isoprene tendency due to moist processes, cell_methods: time: mean",diag_cnst_conv_tend-all
DCmonoterp,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: monoterp tendency due to moist processes, cell_methods: time: mean",diag_cnst_conv_tend-all
