Name,Dimensions,Size,DataType,Attributes,HistFlag
Camrel07,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: unitless, long_name: relative added mass for mode07, cell_methods: time: mean",aerocom
Camrel08,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: unitless, long_name: relative added mass for mode08, cell_methods: time: mean",aerocom
Camrel09,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: unitless, long_name: relative added mass for mode09, cell_methods: time: mean",aerocom
Camrel10,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: unitless, long_name: relative added mass for mode10, cell_methods: time: mean",aerocom
Cxsrel01,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: relative exessive added mass column for mode01, cell_methods: time: mean",aerocom
Cxsrel02,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: relative exessive added mass column for mode02, cell_methods: time: mean",aerocom
Cxsrel04,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: relative exessive added mass column for mode04, cell_methods: time: mean",aerocom
Cxsrel05,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: relative exessive added mass column for mode05, cell_methods: time: mean",aerocom
Cxsrel06,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: relative exessive added mass column for mode06, cell_methods: time: mean",aerocom
Cxsrel07,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: relative exessive added mass column for mode07, cell_methods: time: mean",aerocom
Cxsrel08,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: relative exessive added mass column for mode08, cell_methods: time: mean",aerocom
Cxsrel09,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: relative exessive added mass column for mode09, cell_methods: time: mean",aerocom
Cxsrel10,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: relative exessive added mass column for mode10, cell_methods: time: mean",aerocom
D440_BC,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: BC aerosol optical depth 440nm, cell_methods: time: mean",aerocom
D440_DU,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: mineral aerosol optical depth 440nm, cell_methods: time: mean",aerocom
D440_POM,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: OC aerosol optical depth 440nm, cell_methods: time: mean",aerocom
D440_SO4,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: SO4 aerosol optical depth 440nm, cell_methods: time: mean",aerocom
D440_SS,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: sea-salt aerosol optical depth 440nm, cell_methods: time: mean",aerocom
D500_BC,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: BC aerosol optical depth 500nm, cell_methods: time: mean",aerocom
D500_DU,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: mineral aerosol optical depth 500nm, cell_methods: time: mean",aerocom
D500_POM,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: OC aerosol optical depth 500nm, cell_methods: time: mean",aerocom
D500_SO4,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: SO4 aerosol optical depth 500nm, cell_methods: time: mean",aerocom
D500_SS,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: sea-salt aerosol optical depth 500nm, cell_methods: time: mean",aerocom
D550_BC,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: BC aerosol optical depth 550nm, cell_methods: time: mean",aerocom
D550_DU,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: mineral aerosol optical depth 550nm, cell_methods: time: mean",aerocom
D550_POM,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: OC aerosol optical depth 550nm, cell_methods: time: mean",aerocom
D550_SO4,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: SO4 aerosol optical depth 550nm, cell_methods: time: mean",aerocom
D550_SS,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: sea-salt aerosol optical depth 550nm, cell_methods: time: mean",aerocom
D670_BC,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: BC aerosol optical depth 670nm, cell_methods: time: mean",aerocom
D670_DU,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: mineral aerosol optical depth 670nm, cell_methods: time: mean",aerocom
D670_POM,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: OC aerosol optical depth 670nm, cell_methods: time: mean",aerocom
D670_SO4,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: SO4 aerosol optical depth 670nm, cell_methods: time: mean",aerocom
D670_SS,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: sea-salt aerosol optical depth 670nm, cell_methods: time: mean",aerocom
D870_BC,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: BC aerosol optical depth 870nm, cell_methods: time: mean",aerocom
D870_DU,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: mineral aerosol optical depth 870nm, cell_methods: time: mean",aerocom
D870_POM,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: OC aerosol optical depth 870nm, cell_methods: time: mean",aerocom
D870_SO4,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: SO4 aerosol optical depth 870nm, cell_methods: time: mean",aerocom
D870_SS,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: sea-salt aerosol optical depth 870nm, cell_methods: time: mean",aerocom
DAERH2O,"time, lat, lon","1, 96, 144",float32,"units: mg/m2, long_name: Aerosol water load, cell_methods: time: mean",aerocom
DER,"time, lat, lon","1, 96, 144",float32,"units: um, long_name: Effective aerosol dry radius, cell_methods: time: mean",aerocom
DERGT05,"time, lat, lon","1, 96, 144",float32,"units: um, long_name: Effective aerosol dry radius>0.5um, cell_methods: time: mean",aerocom
DERLT05,"time, lat, lon","1, 96, 144",float32,"units: um, long_name: Effective aerosol dry radius<0.5um, cell_methods: time: mean",aerocom
DGT_BC,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: BC aerosol optical depth 550nm gt05, cell_methods: time: mean",aerocom
DGT_DUST,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: mineral aerosol optical depth 550nm gt05, cell_methods: time: mean",aerocom
DGT_POM,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: OC aerosol optical depth 550nm gt05, cell_methods: time: mean",aerocom
DGT_SO4,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: SO4 aerosol optical depth 550nm gt05, cell_methods: time: mean",aerocom
DGT_SS,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: sea-salt aerosol optical depth 550nm gt05, cell_methods: time: mean",aerocom
DLOAD_BC,"time, lat, lon","1, 96, 144",float32,"units: mg/m2, long_name: BC aerosol load, cell_methods: time: mean",aerocom
DLOAD_MI,"time, lat, lon","1, 96, 144",float32,"units: mg/m2, long_name: mineral aerosol load, cell_methods: time: mean",aerocom
DLOAD_OC,"time, lat, lon","1, 96, 144",float32,"units: mg/m2, long_name: OC aerosol load, cell_methods: time: mean",aerocom
DLOAD_S4,"time, lat, lon","1, 96, 144",float32,"units: mg/m2, long_name: sulfate aerosol load, cell_methods: time: mean",aerocom
DLOAD_SS,"time, lat, lon","1, 96, 144",float32,"units: mg/m2, long_name: sea-salt aerosol load, cell_methods: time: mean",aerocom
DLT_BC,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: BC aerosol optical depth 550nm lt05, cell_methods: time: mean",aerocom
DLT_DUST,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: mineral aerosol optical depth 550nm lt05, cell_methods: time: mean",aerocom
DLT_POM,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: OC aerosol optical depth 550nm lt05, cell_methods: time: mean",aerocom
DLT_SO4,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: SO4 aerosol optical depth 550nm lt05, cell_methods: time: mean",aerocom
DLT_SS,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: sea-salt aerosol optical depth 550nm lt05, cell_methods: time: mean",aerocom
DOD440,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: Aerosol optical depth at 440nm, cell_methods: time: mean",aerocom
DOD500,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: Aerosol optical depth at 500nm, cell_methods: time: mean",aerocom
DOD550,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: Aerosol optical depth at 550nm, cell_methods: time: mean",aerocom
DOD670,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: Aerosol optical depth at 670nm, cell_methods: time: mean",aerocom
DOD870,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: Aerosol optical depth at 870nm, cell_methods: time: mean",aerocom
EC550AER,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: m-1, long_name: aerosol extinction coefficient, cell_methods: time: mean",aerocom
