Name,Dimensions,Size,DataType,Attributes,HistFlag
PSACWSO,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Accretion of cloud water by snow, cell_methods: time: mean",history_budget
PTECLDICE,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: CLDICE total physics tendency, cell_methods: time: mean",history_budget
PTECLDLIQ,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: CLDLIQ total physics tendency, cell_methods: time: mean",history_budget
PTENUMICE,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: #/kg/s, long_name: NUMICE total physics tendency, cell_methods: time: mean",history_budget
PTENUMLIQ,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: #/kg/s, long_name: NUMLIQ total physics tendency, cell_methods: time: mean",history_budget
PTEQ,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Q total physics tendency, cell_methods: time: mean",history_budget
PTTEND,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: K/s, long_name: T total physics tendency, cell_methods: time: mean",history_budget
PTTEND_DME,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: K/s, long_name: T-tendency due to dry mass adjustment at the end of tphysac, cell_methods: time: mean",history_budget
Q,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: Specific humidity, cell_methods: time: mean",history_budget
QAP,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: Specific humidity (after physics), cell_methods: time: mean",history_budget
QBP,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: Specific humidity (before physics), cell_methods: time: mean",history_budget
QCRESO,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Residual condensation term for cloud water, cell_methods: time: mean",history_budget
QCSEDTEN,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Cloud water mixing ratio tendency from sedimentation, cell_methods: time: mean",history_budget
QCSEVAP,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Rate of evaporation of falling cloud water, cell_methods: time: mean",history_budget
QIRESO,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Residual deposition term for cloud ice, cell_methods: time: mean",history_budget
QISEDTEN,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Cloud ice mixing ratio tendency from sedimentation, cell_methods: time: mean",history_budget
QISEVAP,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Rate of sublimation of falling cloud ice, cell_methods: time: mean",history_budget
QRSEDTEN,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Rain mixing ratio tendency from sedimentation, cell_methods: time: mean",history_budget
QSSEDTEN,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Snow mixing ratio tendency from sedimentation, cell_methods: time: mean",history_budget
QTGW,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Q tendency - gravity wave drag, cell_methods: time: mean",history_budget
QVRES,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Rate of residual condensation term, cell_methods: time: mean",history_budget
RAINQM,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: Grid box averaged rain amount, cell_methods: time: mean",history_budget
RAINQMAP,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: RAINQM after physics, cell_methods: time: mean",history_budget
RAINQMBP,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: RAINQM before physics, cell_methods: time: mean",history_budget
RCMTEND_CLUBB,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: g/kg /s, long_name: Cloud Liquid Water Tendency, cell_methods: time: mean",history_budget
RIMTEND_CLUBB,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: g/kg /s, long_name: Cloud Ice Tendency, cell_methods: time: mean",history_budget
RVMTEND_CLUBB,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: g/kg /s, long_name: Water vapor tendency, cell_methods: time: mean",history_budget
SNOWQM,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: Grid box averaged snow amount, cell_methods: time: mean",history_budget
SNOWQMAP,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: SNOWQM after physics, cell_methods: time: mean",history_budget
SNOWQMBP,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: SNOWQM before physics, cell_methods: time: mean",history_budget
STEND_CLUBB,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: k/s, long_name: Temperature tendency, cell_methods: time: mean",history_budget
T,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: K, long_name: Temperature, cell_methods: time: mean",history_budget
TACLDICE,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: CLDICE horz + vert + fixer tendency, cell_methods: time: mean",history_budget
TACLDLIQ,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: CLDLIQ horz + vert + fixer tendency, cell_methods: time: mean",history_budget
TAP,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: K, long_name: Temperature (after physics), cell_methods: time: mean",history_budget
TAQ,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Q horz + vert + fixer tendency, cell_methods: time: mean",history_budget
TBP,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: K, long_name: Temperature (before physics), cell_methods: time: mean",history_budget
TFIX,"time, lat, lon","1, 96, 144",float32,"units: K/s, long_name: T fixer (T equivalent of Energy correction), cell_methods: time: mean",history_budget
TTEND,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: K/s, long_name: Total T tendency (all processes), cell_methods: time: mean",history_budget
TTEND_TOT,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: K/s, long_name: Total temperature tendency, cell_methods: time: mean",history_budget
TTGW,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: K/s, long_name: T tendency - gravity wave drag, cell_methods: time: mean",history_budget
U,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: m/s, long_name: Zonal wind, cell_methods: time: mean",history_budget
UAP,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: m/s, long_name: Zonal wind (after physics), cell_methods: time: mean",history_budget
UTEND_CLUBB,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: m/s /s, long_name: U-wind Tendency, cell_methods: time: mean",history_budget
V,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: m/s, long_name: Meridional wind, cell_methods: time: mean",history_budget
VAP,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: m/s, long_name: Meridional wind (after physics), cell_methods: time: mean",history_budget
VDCLDICE,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Vertical diffusion of CLDICE, cell_methods: time: mean",history_budget
VDCLDLIQ,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Vertical diffusion of CLDLIQ, cell_methods: time: mean",history_budget
VDNUMICE,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Vertical diffusion of NUMICE, cell_methods: time: mean",history_budget
VDNUMLIQ,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Vertical diffusion of NUMLIQ, cell_methods: time: mean",history_budget
VTEND_CLUBB,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: m/s /s, long_name: V-wind Tendency, cell_methods: time: mean",history_budget
ZMDICE,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Cloud ice tendency - Zhang-McFarlane convection, cell_methods: time: mean",history_budget
ZMDLIQ,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Cloud liq tendency - Zhang-McFarlane convection, cell_methods: time: mean",history_budget
ZMDQ,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Q tendency - Zhang-McFarlane moist convection, cell_methods: time: mean",history_budget
ZMDT,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: K/s, long_name: T tendency - Zhang-McFarlane moist convection, cell_methods: time: mean",history_budget
ZMMTT,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: K/s, long_name: T tendency - ZM convective momentum transport, cell_methods: time: mean",history_budget
